assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,franchise_id
20,3,15,,1,55,3,Liljegren,0,16,8480043,3,23,0.41818,D,0,7,20232024,0,1,0.04838,R,62,Timothy Liljegren,TOR,1179.8,5
11,9,18,0.49242,3,52,10,Jarnkrok,1,18,8475714,16,21,0.40384,C,0,1,20232024,1,2,0.10869,R,92,Calle Jarnkrok,TOR,915.5,5
11,8,19,0.50867,1,78,8,Kampf,0,18,8480144,-4,19,0.24358,C,0,0,20232024,0,0,0.10126,L,79,David Kampf,TOR,809.2179,5
10,7,17,0.46305,1,54,7,Holmberg,0,18,8480995,11,17,0.31481,R,0,0,20232024,0,0,0.12962,L,54,Pontus Holmberg,TOR,694.1111,5
6,4,10,0.58333,1,63,6,Gregor,0,17,8479393,-7,12,0.19047,L,1,1,20232024,1,1,0.05454,L,110,Noah Gregor,TOR,683.9365,5
9,1,8,,0,25,1,Timmins,0,18,8479982,9,10,0.4,D,0,2,20232024,0,0,0.04,R,25,Conor Timmins,TOR,961.28,5
6,3,9,,1,46,3,Giordano,0,49,8470966,10,9,0.19565,D,0,0,20232024,0,0,0.05084,L,59,Mark Giordano,TOR,997.0217,5
2,4,6,1.0,0,49,4,Reaves,0,49,8471817,-13,6,0.12244,R,0,0,20232024,0,0,0.15384,R,26,Ryan Reaves,TOR,486.9795,5
5,0,3,,0,14,0,Klingberg,0,8,8475906,-7,5,0.35714,D,0,2,20232024,0,0,0.0,R,14,John Klingberg,TOR,1233.0714,5
4,1,5,0.45833,0,17,1,Dewar,0,8,8480980,-2,5,0.29411,C,0,0,20232024,0,0,0.05,L,20,Connor Dewar,"MIN,TOR",774.4117,5
4,1,5,,0,64,1,Benoit,0,56,8481122,7,5,0.07812,D,0,0,20232024,0,0,0.01923,L,52,Simon Benoit,TOR,1033.6875,5
